Country/Region,Confirmed,Deaths,Recovered,Cases_per_1000,Cluster
Afghanistan,36263,1269,25198,0.0,0
Albania,4880,144,2745,0.0,0
Algeria,27973,1163,18837,0.0,0
Andorra,907,52,803,0.0,0
Angola,950,41,242,0.0,0
Antigua and Barbuda,86,3,65,0.0,0
Argentina,167416,3059,72575,0.0,0
Armenia,37390,711,26665,0.0,0
Australia,113,3,109,0.0,0
Austria,20558,713,18246,0.0,0
Azerbaijan,30446,423,23242,0.0,0
Bahamas,382,11,91,0.0,0
Bahrain,39482,141,36110,0.0,0
Bangladesh,226225,2965,125683,0.0,0
Barbados,110,7,94,0.0,0
Belarus,67251,538,60492,0.0,0
Belgium,66428,9822,17452,0.0,0
Belize,48,2,26,0.0,0
Benin,1770,35,1036,0.0,0
Bhutan,99,0,86,0.0,0
Bolivia,71181,2647,21478,0.0,0
Bosnia and Herzegovina,10498,294,4930,0.0,0
Botswana,739,2,63,0.0,0
Brazil,2442375,87618,1846641,0.0,2
Brunei,141,3,138,0.0,0
Bulgaria,10621,347,5585,0.0,0
Burkina Faso,1100,53,926,0.0,0
Burma,350,6,292,0.0,0
Burundi,378,1,301,0.0,0
Cabo Verde,2328,22,1550,0.0,0
Cambodia,226,0,147,0.0,0
Cameroon,17110,391,14539,0.0,0
Canada,10390,186,0,0.0,0
Central African Republic,4599,59,1546,0.0,0
Chad,922,75,810,0.0,0
Chile,347923,9187,319954,0.0,3
China,991,6,985,0.0,0
Colombia,257101,8777,131161,0.0,0
Comoros,354,7,328,0.0,0
Congo (Brazzaville),3200,54,829,0.0,0
Congo (Kinshasa),8844,208,5700,0.0,0
Costa Rica,15841,115,3824,0.0,0
Cote d'Ivoire,15655,96,10361,0.0,0
Croatia,4881,139,3936,0.0,0
Cuba,2532,87,2351,0.0,0
Cyprus,1060,19,852,0.0,0
Czechia,15516,373,11428,0.0,0
Denmark,214,0,188,0.0,0
Djibouti,5059,58,4977,0.0,0
Dominica,18,0,18,0.0,0
Dominican Republic,64156,1083,30204,0.0,0
Ecuador,81161,5532,34896,0.0,0
Egypt,92482,4652,34838,0.0,0
El Salvador,15035,408,7778,0.0,0
Equatorial Guinea,3071,51,842,0.0,0
Eritrea,265,0,191,0.0,0
Estonia,2034,69,1923,0.0,0
Eswatini,2316,34,1025,0.0,0
Ethiopia,14547,228,6386,0.0,0
Fiji,27,0,18,0.0,0
Finland,7398,329,6920,0.0,0
France,7514,42,6047,0.0,0
Gabon,7189,49,4682,0.0,0
Gambia,326,8,66,0.0,0
Georgia,1137,16,922,0.0,0
Germany,207112,9125,190314,0.0,0
Ghana,33624,168,29801,0.0,0
Greece,4227,202,1374,0.0,0
Greenland,14,0,13,0.0,0
Grenada,23,0,23,0.0,0
Guatemala,45309,1761,32455,0.0,0
Guinea,7055,45,6257,0.0,0
Guinea-Bissau,1954,26,803,0.0,0
Guyana,389,20,181,0.0,0
Haiti,7340,158,4365,0.0,0
Holy See,12,0,12,0.0,0
Honduras,39741,1166,5039,0.0,0
Hungary,4448,596,3329,0.0,0
Iceland,1854,10,1823,0.0,0
India,1480073,33408,951166,0.0,3
Indonesia,100303,4838,58173,0.0,0
Iran,293606,15912,255144,0.0,3
Iraq,112585,4458,77144,0.0,0
Ireland,25892,1764,23364,0.0,0
Israel,63985,474,27133,0.0,0
Italy,246286,35112,198593,0.0,3
Jamaica,853,10,714,0.0,0
Japan,31142,998,21970,0.0,0
Jordan,1176,11,1041,0.0,0
Kazakhstan,84648,585,54404,0.0,0
